2.055849609375000000e+02,1.989382781982421875e+02,1.928296813964843750e+02,1.880799713134765625e+02,1.838122253417968750e+02,1.776913604736328125e+02,1.758704071044921875e+02,1.805127868652343750e+02
1.372316436767578125e+02,1.456045684814453125e+02,1.464096069335937500e+02,1.465497589111328125e+02,1.471232452392578125e+02,1.508532562255859375e+02,1.517935028076171875e+02,1.552530364990234375e+02
1.782814178466796875e+02,1.742260742187500000e+02,1.699436035156250000e+02,1.701621398925781250e+02,1.708996582031250000e+02,1.699760894775390625e+02,1.706754913330078125e+02,1.782650909423828125e+02
1.777556610107421875e+02,1.736204223632812500e+02,1.708896331787109375e+02,1.705936279296875000e+02,1.699394989013671875e+02,1.711502532958984375e+02,1.765224151611328125e+02,1.874177093505859375e+02
1.323063507080078125e+02,1.398984069824218750e+02,1.439809570312500000e+02,1.457845611572265625e+02,1.484450531005859375e+02,1.571960296630859375e+02,1.704461822509765625e+02,1.868529815673828125e+02
1.748323974609375000e+02,1.713409271240234375e+02,1.688157501220703125e+02,1.725761108398437500e+02,1.799166259765625000e+02,1.912121734619140625e+02,2.043047027587890625e+02,2.141115112304687500e+02
1.858087463378906250e+02,1.865557861328125000e+02,1.863496246337890625e+02,1.881436004638671875e+02,1.972951202392578125e+02,2.124127655029296875e+02,2.198654327392578125e+02,2.230209655761718750e+02
1.846649627685546875e+02,1.848959350585937500e+02,1.902338562011718750e+02,1.991353454589843750e+02,2.096876220703125000e+02,2.173341522216796875e+02,2.161702270507812500e+02,2.187804260253906250e+02
2.007780456542968750e+02,2.046930999755859375e+02,2.096072540283203125e+02,2.199815673828125000e+02,2.298744049072265625e+02,2.299090270996093750e+02,2.276365356445312500e+02,2.283125457763671875e+02
2.037858428955078125e+02,2.134917449951171875e+02,2.250816345214843750e+02,2.317617492675781250e+02,2.319521484375000000e+02,2.313490447998046875e+02,2.292837982177734375e+02,2.270950927734375000e+02
2.129208221435546875e+02,2.268959655761718750e+02,2.355935058593750000e+02,2.343268280029296875e+02,2.299113922119140625e+02,2.284971313476562500e+02,2.231417541503906250e+02,2.299388275146484375e+02
2.275777130126953125e+02,2.366057891845703125e+02,2.320966033935546875e+02,2.289725189208984375e+02,2.288156127929687500e+02,2.252197570800781250e+02,2.324577484130859375e+02,2.475802307128906250e+02
2.345346221923828125e+02,2.355437316894531250e+02,2.328014068603515625e+02,2.310567016601562500e+02,2.275386199951171875e+02,2.330400390625000000e+02,2.479343261718750000e+02,2.488542022705078125e+02
2.263731079101562500e+02,2.285846252441406250e+02,2.262054290771484375e+02,2.230638732910156250e+02,2.273957824707031250e+02,2.437530670166015625e+02,2.442803497314453125e+02,2.400536956787109375e+02
2.299479827880859375e+02,2.331171875000000000e+02,2.292952270507812500e+02,2.342754974365234375e+02,2.457234344482421875e+02,2.438192291259765625e+02,2.402041168212890625e+02,2.433052825927734375e+02
2.260950622558593750e+02,2.266000976562500000e+02,2.309473571777343750e+02,2.459733123779296875e+02,2.434385833740234375e+02,2.389035186767578125e+02,2.387519836425781250e+02,2.318603820800781250e+02
2.241062927246093750e+02,2.343654937744140625e+02,2.455606536865234375e+02,2.444189758300781250e+02,2.391548156738281250e+02,2.386956329345703125e+02,2.286502838134765625e+02,2.065889739990234375e+02
2.319951477050781250e+02,2.510490264892578125e+02,2.497889709472656250e+02,2.451295013427734375e+02,2.421189727783203125e+02,2.297831573486328125e+02,2.033755798339843750e+02,1.824783325195312500e+02
